Category: All categories

Week,expedia: (United States)
2021-01-03,45
2021-01-10,48
2021-01-17,48
2021-01-24,47
2021-01-31,53
2021-02-07,57
2021-02-14,63
2021-02-21,67
2021-02-28,77
2021-03-07,77
2021-03-14,86
2021-03-21,84
2021-03-28,81
2021-04-04,80
2021-04-11,80
2021-04-18,75
2021-04-25,80
2021-05-02,84
2021-05-09,81
2021-05-16,90
2021-05-23,96
2021-05-30,93
2021-06-06,100
2021-06-13,97
2021-06-20,97
2021-06-27,94
2021-07-04,89
2021-07-11,98
2021-07-18,91
2021-07-25,78
2021-08-01,77
2021-08-08,66
2021-08-15,57
2021-08-22,59
2021-08-29,61
2021-09-05,58
2021-09-12,62
2021-09-19,59
2021-09-26,61
2021-10-03,54
2021-10-10,48
2021-10-17,47
2021-10-24,44
2021-10-31,43
2021-11-07,47
2021-11-14,45
2021-11-21,44
2021-11-28,45
2021-12-05,42
2021-12-12,42
2021-12-19,36
2021-12-26,45
